sample_id,repository,bug_id,commit,id,file,function,loc,complexity,max_nesting,num_args,num_returns,num_calls,file_imports,caller_count,callee_count,dependency_count,degree,betweenness,pagerank,label
PySnooper_1_e21a31162f4c_pysnooper/tracer.py_write_1,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:write,pysnooper/tracer.py,write,3,1,0,2,0,3,12,2,0,0,3,0.0,0.016855177084852953,1
PySnooper_1_e21a31162f4c_pysnooper/tracer.py_get_source_from_frame_1,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:get_source_from_frame,pysnooper/tracer.py,get_source_from_frame,57,18,4,1,2,20,12,1,0,0,2,0.0,0.007193181853056778,1
PySnooper_1_e21a31162f4c_tests/utils.py__check_name_0,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:_check_name,tests/utils.py,_check_name,7,3,2,2,3,1,7,1,0,0,2,0.0,0.009579398463770754,0
PySnooper_1_e21a31162f4c_pysnooper/tracer.py__is_internal_frame_0,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:_is_internal_frame,pysnooper/tracer.py,_is_internal_frame,2,1,0,2,1,0,12,2,0,0,3,0.0,0.012415830236235846,0
PySnooper_1_e21a31162f4c_misc/generate_authors.py_print_authors_0,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,misc/generate_authors.py:print_authors,misc/generate_authors.py,print_authors,4,2,1,0,0,4,2,0,1,0,2,0.0,0.00746676364149874,0
PySnooper_1_e21a31162f4c_tests/utils.py_assert_sample_output_0,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,tests/utils.py:assert_sample_output,tests/utils.py,assert_sample_output,21,4,1,1,1,9,7,0,0,0,1,0.0,0.006009236540691585,0
PySnooper_1_e21a31162f4c_pysnooper/variables.py__get_value_0,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:_get_value,pysnooper/variables.py,_get_value,2,1,0,3,1,1,4,1,0,0,2,0.0,0.00938221687686899,0
PySnooper_1_e21a31162f4c_pysnooper/variables.py__format_key_0,PySnooper,1,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:_format_key,pysnooper/variables.py,_format_key,2,1,0,2,0,0,4,1,0,0,2,0.0,0.00938221687686899,0
PySnooper_2_e21a31162f4c_pysnooper/utils.py_ensure_tuple_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/utils.py:ensure_tuple,pysnooper/utils.py,ensure_tuple,4,2,1,1,1,2,3,0,0,0,1,0.0,0.006451974615967661,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py_get_source_from_frame_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:get_source_from_frame,pysnooper/tracer.py,get_source_from_frame,57,18,4,1,2,20,12,1,0,0,2,0.0,0.007193181853056778,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py___exit___1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:__exit__,pysnooper/tracer.py,__exit__,6,1,0,4,0,5,12,0,0,0,1,0.0,0.006148652176420965,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py___enter___1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:__enter__,pysnooper/tracer.py,__enter__,9,2,1,1,0,7,12,0,1,0,2,0.0,0.006148652176420965,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py_trace_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:trace,pysnooper/tracer.py,trace,123,23,6,4,5,45,12,0,5,0,6,0.0,0.006148652176420965,1
PySnooper_2_e21a31162f4c_pysnooper/variables.py__items_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/variables.py:_items,pysnooper/variables.py,_items,9,3,2,2,1,4,4,1,3,0,5,0.00024996875390576176,0.011386246885334128,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py_write_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:write,pysnooper/tracer.py,write,3,1,0,2,0,3,12,2,0,0,3,0.0,0.016855177084852953,1
PySnooper_2_e21a31162f4c_pysnooper/utils.py_get_shortish_repr_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/utils.py:get_shortish_repr,pysnooper/utils.py,get_shortish_repr,8,3,1,1,1,4,3,0,1,0,2,0.0,0.006451974615967661,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py___call___1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:__call__,pysnooper/tracer.py,__call__,30,10,3,2,4,8,12,0,0,0,1,0.0,0.006148652176420965,1
PySnooper_2_e21a31162f4c_pysnooper/tracer.py_get_local_reprs_1,PySnooper,2,e21a31162f4c54be693d8ca8260e42393b39abd3,pysnooper/tracer.py:get_local_reprs,pysnooper/tracer.py,get_local_reprs,11,2,1,2,1,10,12,1,0,0,2,0.0,0.007193181853056778,1
